age;job;marital;education;default;housing;loan;contact;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
33;student;single;high.school;no;no;no;telephone;2;999;0;unknown;1.1;93.994;-36.4;4.858;5191.0;no
24;admin.;single;high.school;no;no;no;cellular;3;999;3;fail;-3.4;92.649;-30.1;0.715;5017.5;no
28;blue-collar;married;basic;unknown;yes;no;cellular;6;999;0;unknown;1.4;93.918;-42.7;4.968;5228.1;no
48;blue-collar;married;other;no;yes;no;telephone;0;999;1;unknown;1.1;93.994;-36.4;4.857;5191.0;no
40;blue-collar;divorced;basic;no;unknown;unknown;cellular;1;999;2;unknown;1.4;93.918;-42.7;4.963;5228.1;yes
30;services;single;high.school;unknown;yes;no;cellular;6;999;2;unknown;-1.8;92.893;-46.2;1.266;5099.1;no
38;admin.;divorced;university.degree;no;no;no;cellular;1;999;-1;unknown;1.4;93.444;-36.1;4.966;5228.1;no
27;services;single;high.school;unknown;no;no;telephone;6;999;1;unknown;1.4;94.465;-41.8;4.864;5228.1;no
33;blue-collar;single;high.school;no;yes;no;cellular;0;999;2;unknown;-1.8;92.893;-46.2;1.327;5099.1;no
37;admin.;single;university.degree;no;no;no;cellular;5;999;1;unknown;1.4;93.918;-42.7;4.962;5228.1;no
59;entrepreneur;married;other;no;no;no;telephone;5;999;1;unknown;1.4;94.465;-41.8;4.864;5228.1;no
50;admin.;married;other;no;no;no;cellular;3;999;0;unknown;1.4;93.444;-36.1;4.963;5228.1;no
41;blue-collar;married;basic;no;no;yes;cellular;5;999;0;unknown;1.4;93.918;-42.7;4.961;5228.1;no
34;admin.;married;high.school;unknown;yes;no;cellular;3;999;0;unknown;-1.8;92.893;-46.2;1.344;5099.1;no
27;blue-collar;single;high.school;no;no;no;cellular;1;999;1;unknown;-1.8;93.369;-34.8;0.635;5008.7;no
42;blue-collar;married;basic;no;no;no;cellular;4;999;0;unknown;-0.1;93.2;-42.0;4.076;5195.8;no
49;technician;married;professional.course;no;yes;no;telephone;2;999;1;unknown;1.1;93.994;-36.4;4.855;5191.0;no
48;unknown;married;basic;no;no;no;cellular;5;999;-1;unknown;1.4;93.918;-42.7;4.963;5228.1;no
37;technician;single;high.school;yes;no;no;cellular;6;999;0;unknown;1.4;93.444;-36.1;4.965;5228.1;no
66;other;married;basic;unknown;yes;no;cellular;4;999;0;unknown;-1.8;93.369;-34.8;0.646;5008.7;no
51;self-employed;married;basic;no;yes;no;cellular;10;999;1;unknown;1.4;93.444;-36.1;4.964;5228.1;no
24;services;single;high.school;no;no;no;telephone;3;999;2;unknown;1.1;93.994;-36.4;4.857;5191.0;yes
25;technician;single;university.degree;no;yes;no;cellular;2;999;2;unknown;-1.8;92.843;-50.0;1.65;5099.1;yes
60;technician;married;basic;no;yes;no;cellular;2;999;-1;unknown;-1.7;94.027;-38.3;0.904;4991.6;yes
48;blue-collar;married;basic;no;yes;no;cellular;3;999;2;unknown;-1.8;92.893;-46.2;1.334;5099.1;no
32;admin.;married;university.degree;no;no;no;telephone;2;999;-1;unknown;1.4;93.444;-36.1;4.964;5228.1;yes
32;technician;single;high.school;no;yes;no;cellular;3;999;-1;unknown;1.4;93.444;-36.1;4.963;5228.1;no
45;admin.;married;high.school;no;yes;no;telephone;4;999;2;unknown;1.1;93.994;-36.4;4.857;5191.0;no
29;admin.;single;university.degree;no;no;no;telephone;2;999;0;unknown;-1.8;93.075;-47.1;1.405;5099.1;no
60;technician;married;university.degree;no;no;yes;cellular;2;999;-1;unknown;1.4;93.918;-42.7;4.962;5228.1;no
35;blue-collar;married;basic;no;no;no;telephone;2;999;1;unknown;-3.4;92.431;-26.9;0.73;5017.5;no
26;services;single;high.school;no;no;no;cellular;10;999;-1;unknown;1.4;93.918;-42.7;4.963;5228.1;no
45;blue-collar;married;basic;no;yes;no;telephone;3;999;0;unknown;1.4;94.465;-41.8;4.947;5228.1;no
28;blue-collar;married;basic;unknown;yes;no;cellular;0;999;1;unknown;-1.8;92.893;-46.2;1.327;5099.1;no
26;student;unknown;high.school;no;no;no;cellular;7;999;1;unknown;-1.8;92.893;-46.2;1.281;5099.1;no
45;admin.;married;university.degree;unknown;unknown;no;cellular;3;999;1;unknown;1.4;93.444;-36.1;4.965;5228.1;no
44;admin.;single;high.school;no;yes;no;cellular;7;999;2;unknown;-1.8;93.876;-40.0;0.682;5008.7;no
40;blue-collar;single;high.school;no;no;no;cellular;3;999;0;unknown;-1.8;92.893;-46.2;1.313;5099.1;no
42;blue-collar;married;basic;unknown;yes;no;cellular;0;999;-1;unknown;1.4;93.444;-36.1;4.963;5228.1;no
46;technician;married;other;unknown;yes;no;cellular;2;999;-1;unknown;1.4;93.918;-42.7;4.96;5228.1;no
59;other;divorced;university.degree;no;yes;no;cellular;4;999;2;unknown;-1.8;93.075;-47.1;1.415;5099.1;yes
44;blue-collar;unknown;basic;unknown;yes;no;telephone;1;999;-1;unknown;1.4;94.465;-41.8;4.961;5228.1;no
61;technician;married;high.school;unknown;no;no;cellular;2;999;0;unknown;-1.8;93.749;-34.6;0.642;5008.7;yes
39;services;married;high.school;unknown;no;no;telephone;2;999;0;unknown;1.4;94.465;-41.8;4.866;5228.1;no
37;blue-collar;married;basic;no;yes;no;telephone;3;999;-1;unknown;1.1;93.994;-36.4;4.857;5191.0;no
51;admin.;married;professional.course;no;yes;no;telephone;5;999;1;unknown;1.1;93.994;-36.4;4.857;5191.0;no
38;blue-collar;single;basic;no;no;no;telephone;7;999;2;unknown;1.1;93.994;-36.4;4.856;5191.0;no
48;admin.;divorced;university.degree;no;yes;yes;cellular;3;999;0;fail;-0.1;93.2;-42.0;4.12;5195.8;no
37;admin.;single;university.degree;no;yes;no;cellular;28;999;2;unknown;1.4;93.918;-42.7;4.968;5228.1;no
30;technician;married;university.degree;no;no;no;telephone;2;999;-1;unknown;1.1;93.994;-36.4;4.856;5191.0;no
46;other;married;basic;no;yes;no;cellular;2;999;1;unknown;1.4;93.444;-36.1;4.965;5228.1;no
37;admin.;single;high.school;unknown;yes;no;telephone;18;999;2;unknown;1.1;93.994;-36.4;4.859;5191.0;no
66;other;married;other;no;no;no;cellular;2;999;2;unknown;-2.9;92.201;-31.4;0.879;5076.2;no
32;technician;married;basic;no;yes;no;telephone;2;999;0;unknown;1.1;93.994;-36.4;4.857;5191.0;no
55;blue-collar;married;basic;no;no;no;cellular;1;999;1;unknown;1.4;93.918;-42.7;4.962;5228.1;no
34;technician;married;university.degree;no;no;no;telephone;3;999;0;unknown;1.4;93.918;-42.7;4.968;5228.1;no
38;blue-collar;married;high.school;no;yes;no;cellular;3;999;2;unknown;-0.1;93.2;-42.0;4.076;5195.8;no
37;admin.;married;high.school;no;no;no;telephone;4;999;1;unknown;1.1;93.994;-36.4;4.857;5191.0;no
51;entrepreneur;married;university.degree;no;yes;no;telephone;4;999;1;unknown;-0.1;93.2;-42.0;4.7;5195.8;yes
30;services;married;basic;no;yes;no;cellular;5;999;1;unknown;1.4;93.918;-42.7;4.962;5228.1;no
29;technician;married;professional.course;no;no;yes;cellular;6;999;1;unknown;-0.1;93.2;-42.0;4.021;5195.8;no
30;technician;single;university.degree;unknown;yes;no;telephone;2;999;2;unknown;1.1;93.994;-36.4;4.857;5191.0;no
36;technician;married;high.school;no;yes;no;telephone;2;999;1;unknown;1.4;93.444;-36.1;4.963;5228.1;no
39;unknown;married;other;no;yes;no;cellular;12;999;0;unknown;1.4;93.444;-36.1;4.962;5228.1;no
22;student;single;high.school;no;yes;no;cellular;1;999;2;fail;-1.8;93.876;-40.0;0.682;5008.7;no
56;admin.;married;high.school;no;no;no;cellular;5;999;-1;unknown;1.4;93.444;-36.1;4.964;5228.1;no
34;self-employed;unknown;basic;no;yes;no;cellular;5;999;1;unknown;1.4;93.444;-36.1;4.964;5228.1;no
36;technician;married;university.degree;no;no;no;cellular;19;999;2;unknown;1.4;93.444;-36.1;4.962;5228.1;no
38;admin.;married;university.degree;unknown;yes;no;cellular;4;999;0;unknown;1.4;93.918;-42.7;4.961;5228.1;no
36;entrepreneur;married;basic;no;yes;no;cellular;5;999;2;fail;-1.8;92.893;-46.2;1.266;5099.1;no
25;admin.;single;high.school;no;no;no;cellular;5;999;2;fail;-1.8;92.893;-46.2;1.313;5099.1;yes
60;other;married;university.degree;no;unknown;unknown;cellular;2;999;2;unknown;-0.1;93.2;-42.0;4.076;5195.8;no
52;admin.;married;high.school;unknown;yes;no;cellular;1;999;2;unknown;1.4;93.444;-36.1;4.967;5228.1;no
37;blue-collar;married;basic;unknown;yes;no;telephone;4;999;2;unknown;1.4;94.465;-41.8;4.959;5228.1;no
36;admin.;single;university.degree;no;yes;no;cellular;7;999;0;unknown;-1.8;92.893;-46.2;1.244;5099.1;no
56;blue-collar;married;basic;no;no;no;cellular;4;999;0;unknown;-1.8;93.075;-47.1;1.453;5099.1;no
26;student;single;university.degree;unknown;no;no;cellular;4;999;-1;unknown;-1.8;92.893;-46.2;1.299;5099.1;no
27;blue-collar;single;basic;no;no;no;cellular;2;999;1;fail;-1.8;92.893;-46.2;1.25;5099.1;no
46;admin.;married;university.degree;no;yes;no;cellular;2;999;1;unknown;1.4;93.918;-42.7;4.963;5228.1;no
33;admin.;married;university.degree;no;no;no;cellular;2;999;0;unknown;1.4;93.444;-36.1;4.965;5228.1;yes
58;technician;married;basic;no;yes;no;cellular;4;999;-1;unknown;-1.7;94.215;-40.3;0.885;4991.6;yes
33;unknown;married;university.degree;no;no;no;cellular;6;999;2;unknown;1.4;93.918;-42.7;4.968;5228.1;no
83;other;divorced;basic;no;yes;no;cellular;4;13;3;success;-3.4;92.649;-30.1;0.715;5017.5;yes
29;blue-collar;married;basic;no;no;no;cellular;2;999;0;fail;-1.8;93.075;-47.1;1.41;5099.1;no
42;admin.;divorced;professional.course;no;yes;no;telephone;4;999;0;unknown;1.1;93.994;-36.4;4.86;5191.0;no
35;services;single;high.school;no;no;no;cellular;7;999;2;unknown;-1.8;92.893;-46.2;1.313;5099.1;no
53;admin.;married;high.school;no;yes;no;cellular;4;999;1;unknown;-1.8;92.893;-46.2;1.25;5099.1;no
41;self-employed;married;university.degree;no;yes;no;cellular;2;999;-1;unknown;-0.1;93.2;-42.0;4.153;5195.8;no
51;unknown;married;high.school;unknown;yes;no;telephone;3;999;-1;unknown;1.1;93.994;-36.4;4.857;5191.0;no
54;blue-collar;divorced;basic;no;yes;no;telephone;3;999;1;unknown;-0.1;93.2;-42.0;4.12;5195.8;no
29;admin.;single;university.degree;no;no;no;cellular;10;999;2;unknown;1.4;93.444;-36.1;4.962;5228.1;no
27;technician;single;university.degree;no;no;no;cellular;0;999;-1;unknown;-1.1;94.601;-49.5;0.959;4963.6;yes
47;blue-collar;married;basic;no;no;yes;cellular;1;999;0;fail;-1.8;92.893;-46.2;1.25;5099.1;no
29;admin.;married;university.degree;no;yes;no;cellular;1;999;2;unknown;-0.1;93.2;-42.0;4.076;5195.8;no
35;technician;married;university.degree;no;no;no;cellular;7;999;2;unknown;1.4;93.918;-42.7;4.968;5228.1;no
56;technician;single;university.degree;no;yes;yes;cellular;2;999;0;fail;-1.8;92.893;-46.2;1.327;5099.1;no
35;admin.;married;university.degree;no;no;no;telephone;4;999;0;unknown;1.1;93.994;-36.4;4.856;5191.0;no
38;admin.;married;university.degree;no;no;no;cellular;8;999;1;unknown;1.4;93.918;-42.7;4.96;5228.1;no
46;blue-collar;married;other;no;yes;no;cellular;1;999;-1;unknown;-1.8;93.075;-47.1;1.41;5099.1;no
29;self-employed;married;professional.course;no;yes;no;telephone;3;999;2;unknown;1.1;93.994;-36.4;4.857;5191.0;no
31;technician;married;university.degree;no;yes;no;cellular;0;999;1;fail;-1.1;94.199;-37.5;0.876;4963.6;no
55;admin.;single;basic;no;yes;no;cellular;2;999;-1;unknown;1.4;93.918;-42.7;4.963;5228.1;no
51;technician;single;basic;no;yes;no;telephone;3;999;2;unknown;-0.1;93.2;-42.0;4.021;5195.8;no
52;services;divorced;basic;no;yes;no;cellular;5;999;1;unknown;1.4;93.918;-42.7;4.957;5228.1;no
36;services;married;high.school;no;yes;no;cellular;4;999;-1;unknown;1.4;93.918;-42.7;4.961;5228.1;no
41;entrepreneur;single;basic;no;yes;no;cellular;6;999;1;unknown;-0.1;93.2;-42.0;4.076;5195.8;no
52;other;married;basic;no;unknown;no;cellular;2;999;2;unknown;1.4;93.444;-36.1;4.966;5228.1;no
35;technician;married;university.degree;no;no;no;telephone;4;999;2;unknown;1.1;93.994;-36.4;4.857;5191.0;no
35;services;married;high.school;no;yes;no;cellular;0;999;-1;unknown;-1.8;92.893;-46.2;1.313;5099.1;no
34;admin.;single;high.school;no;unknown;no;cellular;2;999;2;fail;-1.8;92.893;-46.2;1.327;5099.1;no
32;technician;married;university.degree;no;yes;no;cellular;7;999;2;unknown;-1.8;92.893;-46.2;1.327;5099.1;no
49;admin.;married;university.degree;unknown;yes;unknown;cellular;1;999;3;fail;-0.1;93.2;-42.0;4.153;5195.8;no
48;technician;married;university.degree;no;no;unknown;cellular;6;999;5;fail;-1.1;94.199;-37.5;0.878;4963.6;no
36;technician;married;university.degree;unknown;yes;no;cellular;0;999;1;unknown;1.4;93.444;-36.1;4.967;5228.1;no
45;self-employed;married;basic;unknown;no;no;telephone;4;999;0;unknown;1.4;94.465;-41.8;4.866;5228.1;no
48;blue-collar;married;basic;no;yes;yes;cellular;4;999;0;unknown;1.4;93.918;-42.7;4.962;5228.1;no
49;admin.;married;basic;no;yes;no;cellular;0;999;0;unknown;1.4;93.444;-36.1;4.968;5228.1;no
55;blue-collar;married;basic;no;yes;no;cellular;3;999;-1;unknown;1.4;93.918;-42.7;4.962;5228.1;no
29;technician;single;university.degree;no;yes;yes;cellular;0;999;2;unknown;-1.8;92.893;-46.2;1.354;5099.1;yes
25;blue-collar;single;basic;no;yes;no;cellular;18;999;2;unknown;1.4;93.918;-42.7;4.958;5228.1;no
27;admin.;single;university.degree;no;no;no;telephone;8;999;-1;unknown;1.4;93.918;-42.7;4.957;5228.1;no
46;admin.;married;university.degree;no;no;no;cellular;2;999;2;unknown;1.4;93.918;-42.7;4.968;5228.1;no
61;admin.;divorced;basic;unknown;yes;yes;cellular;5;999;0;unknown;1.4;93.918;-42.7;4.962;5228.1;yes
29;services;married;high.school;no;no;no;cellular;1;999;0;unknown;-1.8;92.893;-46.2;1.313;5099.1;no
41;technician;divorced;university.degree;no;yes;yes;cellular;3;999;-1;unknown;1.4;93.444;-36.1;4.966;5228.1;no
33;blue-collar;married;basic;no;no;no;telephone;2;999;2;unknown;-0.1;93.2;-42.0;4.153;5195.8;no
35;admin.;single;high.school;no;yes;no;cellular;0;999;1;fail;-1.8;92.893;-46.2;1.281;5099.1;no
26;student;single;professional.course;no;no;no;cellular;4;999;0;unknown;-2.9;92.201;-31.4;0.825;5076.2;no
47;technician;single;university.degree;no;no;no;cellular;1;999;0;unknown;-1.8;92.893;-46.2;1.313;5099.1;no
30;admin.;single;high.school;unknown;yes;no;cellular;0;9;2;success;-1.8;93.075;-47.1;1.365;5099.1;yes
24;admin.;single;university.degree;no;yes;no;cellular;4;999;0;unknown;-1.8;92.893;-46.2;1.266;5099.1;yes
59;other;married;professional.course;no;no;no;cellular;4;999;0;unknown;-0.1;93.2;-42.0;4.12;5195.8;no
55;services;divorced;high.school;unknown;yes;no;cellular;4;999;2;unknown;-1.7;94.215;-40.3;0.896;4991.6;no
30;entrepreneur;divorced;high.school;no;no;no;telephone;3;999;3;fail;-0.1;93.2;-42.0;4.021;5195.8;no
49;blue-collar;married;basic;unknown;yes;no;cellular;6;999;3;fail;-1.8;92.893;-46.2;1.291;5099.1;no
39;technician;married;professional.course;no;no;no;telephone;3;999;1;unknown;1.4;94.465;-41.8;4.96;5228.1;no
62;other;married;professional.course;no;no;no;telephone;6;999;-1;unknown;-1.8;93.075;-47.1;1.498;5099.1;no
38;entrepreneur;married;basic;no;yes;no;cellular;1;999;0;unknown;-3.4;92.379;-29.8;0.819;5017.5;yes
27;admin.;single;university.degree;no;yes;no;cellular;5;999;-1;unknown;-0.1;93.2;-42.0;4.12;5195.8;no
36;services;married;high.school;no;no;no;cellular;10;999;2;unknown;1.4;93.444;-36.1;4.965;5228.1;no
40;blue-collar;married;professional.course;no;no;no;telephone;0;999;0;unknown;1.4;94.465;-41.8;4.961;5228.1;no
44;technician;divorced;university.degree;unknown;no;no;cellular;17;999;2;unknown;1.4;93.444;-36.1;4.962;5228.1;no
36;entrepreneur;married;basic;no;yes;no;cellular;4;999;0;fail;-1.8;93.075;-47.1;1.405;5099.1;no
36;technician;married;professional.course;no;yes;no;cellular;0;999;0;fail;-1.8;92.893;-46.2;1.299;5099.1;no
32;blue-collar;married;basic;unknown;no;no;telephone;3;999;0;unknown;1.1;93.994;-36.4;4.857;5191.0;no
46;unknown;married;other;no;no;no;cellular;2;999;-1;unknown;-1.8;93.075;-47.1;1.365;5099.1;no
26;admin.;single;professional.course;unknown;yes;no;cellular;4;999;-1;unknown;1.4;93.918;-42.7;4.968;5228.1;no
52;blue-collar;married;basic;no;no;no;cellular;0;999;1;unknown;1.4;93.444;-36.1;4.963;5228.1;no
43;admin.;divorced;professional.course;no;yes;no;telephone;1;999;0;unknown;-0.1;93.2;-42.0;4.153;5195.8;no
33;technician;unknown;professional.course;unknown;yes;no;telephone;4;999;2;unknown;1.1;93.994;-36.4;4.864;5191.0;no
44;admin.;single;university.degree;no;yes;no;telephone;5;999;0;unknown;1.1;93.994;-36.4;4.856;5191.0;no
41;technician;married;professional.course;no;unknown;yes;cellular;1;999;0;unknown;1.4;93.444;-36.1;4.964;5228.1;no
38;blue-collar;married;basic;unknown;no;no;telephone;2;999;1;unknown;1.4;94.465;-41.8;4.864;5228.1;no
51;admin.;married;university.degree;no;yes;yes;telephone;2;13;4;success;-3.0;92.713;-33.0;0.706;5023.5;yes
44;technician;single;basic;no;yes;no;cellular;3;999;2;unknown;-1.8;93.075;-47.1;1.435;5099.1;no
44;blue-collar;married;high.school;no;yes;no;telephone;4;999;0;unknown;1.4;94.465;-41.8;4.864;5228.1;no
52;blue-collar;married;basic;no;yes;no;cellular;3;999;1;unknown;-0.1;93.2;-42.0;4.191;5195.8;no
38;blue-collar;unknown;professional.course;no;yes;no;cellular;4;999;1;unknown;1.4;93.918;-42.7;4.96;5228.1;no
31;services;married;professional.course;no;no;no;cellular;1;999;-1;unknown;-0.1;93.2;-42.0;4.12;5195.8;no
39;admin.;single;university.degree;unknown;yes;no;telephone;6;999;0;unknown;1.1;93.994;-36.4;4.859;5191.0;no
38;blue-collar;married;basic;unknown;yes;no;cellular;0;999;2;fail;-1.8;92.893;-46.2;1.244;5099.1;no
38;entrepreneur;married;basic;no;yes;no;cellular;6;999;-1;unknown;-1.8;93.075;-47.1;1.405;5099.1;no
40;self-employed;married;university.degree;unknown;yes;no;telephone;5;999;0;unknown;1.4;94.465;-41.8;4.864;5228.1;no
29;blue-collar;married;basic;no;yes;no;cellular;1;999;0;unknown;1.4;93.918;-42.7;4.962;5228.1;no
29;technician;single;professional.course;no;yes;no;telephone;3;999;-1;unknown;1.4;94.465;-41.8;4.962;5228.1;no
27;services;married;high.school;no;yes;no;telephone;0;999;0;unknown;1.1;93.994;-36.4;4.857;5191.0;no
43;technician;single;university.degree;no;no;no;cellular;1;999;0;unknown;-0.1;93.2;-42.0;4.076;5195.8;no
29;technician;single;high.school;no;yes;no;cellular;6;999;1;unknown;1.4;93.444;-36.1;4.964;5228.1;no
52;services;married;basic;no;yes;no;cellular;4;999;2;unknown;-0.1;93.2;-42.0;4.076;5195.8;no
54;blue-collar;married;basic;no;no;no;cellular;5;999;2;unknown;-0.1;93.2;-42.0;4.076;5195.8;no
50;services;divorced;high.school;no;no;no;telephone;4;999;0;unknown;-0.1;93.2;-42.0;4.153;5195.8;no
39;admin.;married;high.school;no;no;no;telephone;1;999;0;unknown;1.1;93.994;-36.4;4.857;5191.0;no
66;technician;married;high.school;no;yes;no;cellular;2;999;1;fail;-1.7;94.215;-40.3;0.899;4991.6;no
57;technician;married;university.degree;no;no;yes;telephone;0;999;1;unknown;1.1;93.994;-36.4;4.857;5191.0;no
27;technician;married;professional.course;no;no;no;cellular;4;999;-1;unknown;-1.8;92.843;-50.0;1.65;5099.1;yes
55;other;married;basic;no;yes;yes;telephone;3;999;-1;unknown;1.1;93.994;-36.4;4.856;5191.0;no
45;technician;married;professional.course;unknown;no;no;telephone;4;999;-1;unknown;1.1;93.994;-36.4;4.859;5191.0;no
49;blue-collar;married;professional.course;no;yes;yes;cellular;0;999;2;unknown;-0.1;93.2;-42.0;4.076;5195.8;no
34;self-employed;divorced;university.degree;no;no;no;cellular;1;999;1;unknown;-1.8;92.893;-46.2;1.327;5099.1;no
45;blue-collar;married;basic;no;yes;no;telephone;14;999;2;unknown;1.1;93.994;-36.4;4.856;5191.0;no
35;admin.;married;high.school;no;yes;yes;cellular;4;999;1;fail;-2.9;92.963;-40.8;1.262;5076.2;no
55;technician;married;other;unknown;yes;no;telephone;5;999;1;unknown;1.1;93.994;-36.4;4.858;5191.0;no
49;blue-collar;divorced;basic;no;yes;no;cellular;5;999;-1;unknown;-1.8;92.893;-46.2;1.291;5099.1;no
31;admin.;married;high.school;no;no;no;telephone;7;999;0;unknown;1.4;94.465;-41.8;4.962;5228.1;no
